17:29:37 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:34:58 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:03 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:08 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:13 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:18 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:23 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:28 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:33 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:38 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:43 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:48 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:53 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:35:58 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:03 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:08 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:13 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:18 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:23 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:28 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:33 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:38 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:43 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:48 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:53 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:36:58 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:03 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:08 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:13 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:18 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:23 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:28 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:33 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:38 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:43 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:48 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:53 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:37:58 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:03 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:08 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:13 | RECEIVED: 1104 B/s | TRANSMIT: 0 B/s
17:38:18 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:23 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:28 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:33 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:38 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:38:43 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
17:54:48 | RECEIVED: 0 B/s | TRANSMIT: 0 B/s
